Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
"amenity,InnoDB,10,Dynamic,20,819,16384,0,0,0,21,""2024-09-12 21:15:54"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"booking,InnoDB,10,Dynamic,20,819,16384,0,32768,0,21,""2024-09-12 21:15:55"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"cancellationpolicy,InnoDB,10,Dynamic,20,819,16384,0,0,0,21,""2024-09-12 21:15:55"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"city,InnoDB,10,Dynamic,20,819,16384,0,0,0,21,""2024-09-12 21:15:54"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"customerservice,InnoDB,10,Dynamic,20,819,16384,0,16384,0,21,""2024-09-12 21:15:55"",""2024-09-12 21:15:56"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"event,InnoDB,10,Dynamic,20,819,16384,0,16384,0,21,""2024-09-12 21:15:55"",""2024-09-12 21:15:56"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"guest,InnoDB,10,Dynamic,20,819,16384,0,16384,0,21,""2024-09-12 21:15:54"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"guestsocialnetwork,InnoDB,10,Dynamic,20,819,16384,0,32768,0,21,""2024-09-12 21:15:54"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"host,InnoDB,10,Dynamic,20,819,16384,0,32768,0,21,""2024-09-12 21:15:54"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"location,InnoDB,10,Dynamic,20,819,16384,0,16384,0,21,""2024-09-12 21:15:54"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"loginhistory,InnoDB,10,Dynamic,20,819,16384,0,16384,0,21,""2024-09-12 21:15:54"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"notification,InnoDB,10,Dynamic,20,819,16384,0,16384,0,21,""2024-09-12 21:15:54"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"promotion,InnoDB,10,Dynamic,20,819,16384,0,16384,0,21,""2024-09-12 21:15:55"",""2024-09-12 21:15:56"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"reservation,InnoDB,10,Dynamic,20,819,16384,0,32768,0,21,""2024-09-12 21:15:55"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"review,InnoDB,10,Dynamic,20,819,16384,0,32768,0,21,""2024-09-12 21:15:55"",""2024-09-12 21:15:56"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"room,InnoDB,10,Dynamic,20,819,16384,0,16384,0,21,""2024-09-12 21:15:54"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"socialnetwork,InnoDB,10,Dynamic,20,819,16384,0,0,0,21,""2024-09-12 21:15:54"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"transaction,InnoDB,10,Dynamic,20,819,16384,0,32768,0,21,""2024-09-12 21:15:55"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"traveladmin,InnoDB,10,Dynamic,20,819,16384,0,32768,0,21,""2024-09-12 21:15:54"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"vacationrental,InnoDB,10,Dynamic,20,819,16384,0,32768,0,21,""2024-09-12 21:15:54"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"vacationrentalamenity,InnoDB,10,Dynamic,20,819,16384,0,16384,0,NULL,""2024-09-12 21:15:54"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
"vacationrentalpolicy,InnoDB,10,Dynamic,20,819,16384,0,16384,0,NULL,""2024-09-12 21:15:55"",""2024-09-12 21:15:55"",NULL,utf8mb4_0900_ai_ci,NULL,,"
